"Date","Year","Passengers"
2022-07-20,"2019",2561911
2022-07-20,"2020",570951
2022-07-20,"2021",1934918
2022-07-20,"2022",2219416
2022-07-20,"2023",NA
2022-07-21,"2019",2705399
2022-07-21,"2020",704815
2022-07-21,"2021",2101343
2022-07-21,"2022",2423437
2022-07-21,"2023",NA
2022-07-22,"2019",2732770
2022-07-22,"2020",724770
2022-07-22,"2021",2159300
2022-07-22,"2022",2444737
2022-07-22,"2023",NA
2022-07-23,"2019",2364925
2022-07-23,"2020",649027
2022-07-23,"2021",1942871
2022-07-23,"2022",2183142
2022-07-23,"2023",NA
2022-07-24,"2019",2700723
2022-07-24,"2020",751205
2022-07-24,"2021",2177129
2022-07-24,"2022",2247129
2022-07-24,"2023",NA
2022-07-25,"2019",2613346
2022-07-25,"2020",700043
2022-07-25,"2021",2124474
2022-07-25,"2022",2360672
2022-07-25,"2023",NA
2022-07-26,"2019",2438967
2022-07-26,"2020",536756
2022-07-26,"2021",1858328
2022-07-26,"2022",2115890
2022-07-26,"2023",NA
2022-07-27,"2019",2542365
2022-07-27,"2020",573200
2022-07-27,"2021",1923980
2022-07-27,"2022",2205506
2022-07-27,"2023",NA
2022-07-28,"2019",2742882
2022-07-28,"2020",718310
2022-07-28,"2021",2127634
2022-07-28,"2022",2392009
2022-07-28,"2023",NA
2022-07-29,"2019",2730936
2022-07-29,"2020",767320
2022-07-29,"2021",2198585
2022-07-29,"2022",2363800
2022-07-29,"2023",NA
2022-07-30,"2019",2367967
2022-07-30,"2020",709033
2022-07-30,"2021",2007412
2022-07-30,"2022",2199454
2022-07-30,"2023",NA
2022-07-31,"2019",2688640
2022-07-31,"2020",799861
2022-07-31,"2021",2238462
2022-07-31,"2022",2467162
2022-07-31,"2023",NA
2022-08-01,"2019",2619406
2022-08-01,"2020",737235
2022-08-01,"2021",2031758
2022-08-01,"2022",2358196
2022-08-01,"2023",NA
2022-08-02,"2019",2387115
2022-08-02,"2020",543601
2022-08-02,"2021",1797120
2022-08-02,"2022",2044931
2022-08-02,"2023",NA
2022-08-03,"2019",2430094
2022-08-03,"2020",595739
2022-08-03,"2021",1855299
2022-08-03,"2022",2105975
2022-08-03,"2023",NA
2022-08-04,"2019",2707986
2022-08-04,"2020",743599
2022-08-04,"2021",2063720
2022-08-04,"2022",2345429
2022-08-04,"2023",NA
2022-08-05,"2019",2725000
2022-08-05,"2020",762547
2022-08-05,"2021",2109091
2022-08-05,"2022",2396295
2022-08-05,"2023",NA
2022-08-06,"2019",2290340
2022-08-06,"2020",683212
2022-08-06,"2021",1925641
2022-08-06,"2022",2169631
2022-08-06,"2023",NA
2022-08-07,"2019",2647897
2022-08-07,"2020",831789
2022-08-07,"2021",2168264
2022-08-07,"2022",2434927
2022-08-07,"2023",NA
2022-08-08,"2019",2567986
2022-08-08,"2020",761861
2022-08-08,"2021",2022858
2022-08-08,"2022",2329072
2022-08-08,"2023",NA
2022-08-09,"2019",2306829
2022-08-09,"2020",559420
2022-08-09,"2021",1727075
2022-08-09,"2022",2029681
2022-08-09,"2023",NA
2022-08-10,"2019",2391906
2022-08-10,"2020",590749
2022-08-10,"2021",1761348
2022-08-10,"2022",2103152
2022-08-10,"2023",NA
2022-08-11,"2019",2602446
2022-08-11,"2020",761821
2022-08-11,"2021",2045301
2022-08-11,"2022",2327062
2022-08-11,"2023",NA
2022-08-12,"2019",2627564
2022-08-12,"2020",783744
2022-08-12,"2021",2065379
2022-08-12,"2022",2350036
2022-08-12,"2023",NA
2022-08-13,"2019",2171962
2022-08-13,"2020",689895
2022-08-13,"2021",1811767
2022-08-13,"2022",2049365
2022-08-13,"2023",NA
2022-08-14,"2019",2584444
2022-08-14,"2020",862949
2022-08-14,"2021",2114166
2022-08-14,"2022",2354846
